program_type,bug_family,checklist_item,reports_scanned,reports_with_bug_signal,reports_with_HM_signal,acceptance_rate_proxy_pct,acceptance_signal_band,keywords
EVM Program,Math/Precision,"Audit fixed-point math, decimal normalization, and rounding direction.",402,402,132,32.84,Medium,"rounding, precision, decimal, overflow, underflow"
EVM Program,Reentrancy,"Apply CEI pattern, reentrancy guards, and callback hardening.",402,245,69,28.16,Low,"reentrancy, re-entrancy, callback"
EVM Program,Signature Replay/Auth,Use strict nonce/domain separation and signer checks.,402,214,39,18.22,Low,"signature replay, permit, eip-712, nonce, ecrecover"
EVM Program,External Call Safety,Handle non-standard token behavior and failed low-level calls.,402,281,43,15.3,Low,"low-level call, safeerc20, return value, external call"
EVM Program,Upgradeable Storage Safety,Protect proxy initialization and storage layout compatibility.,402,307,46,14.98,Low,"proxy, initializer, storage collision, delegatecall, upgrade"
Governance Program,Proposal Replay/ID Collision,Prevent proposal replay and execution of stale payloads.,402,82,23,28.05,Low,"proposal replay, replay, proposal id, duplicate proposal"
Governance Program,Privilege Escalation,Ensure emergency/admin roles cannot bypass governance unexpectedly.,402,399,88,22.06,Low,"onlyowner, admin, access control, privilege, role"
Governance Program,Vote Power Manipulation,Validate vote snapshots and anti-flashloan voting controls.,402,116,22,18.97,Low,"snapshot, vote power, voting power, flash loan governance, governance attack"
Governance Program,Timelock/Execution Bypass,Enforce timelock delay and execution authorization invariants.,402,148,28,18.92,Low,"timelock, delay bypass, queue bypass, execute proposal"
Governance Program,Parameter Risk Controls,Constrain governance-updated risk parameters with bounded ranges.,402,356,54,15.17,Low,"parameter, risk parameter, collateral factor, liquidation threshold"
Protocol Bugs,Bridge/Cross-Chain Validation,"Verify message proofs, signer quorum, and replay protection cross-chain.",402,86,35,40.7,Medium,"bridge, cross-chain, message validation, proof verification"
Protocol Bugs,Liquidation/Accounting Invariants,"Validate health factor, debt accounting, and share conversion invariants.",402,309,122,39.48,Medium,"liquidation, health factor, accounting, share, insolvency"
Protocol Bugs,Oracle Manipulation,Harden price sources against thin-liquidity and short-window manipulation.,402,192,66,34.38,Medium,"oracle, price manipulation, twap, spot price"
Protocol Bugs,MEV/Ordering Dependence,Ensure protocol safety under adversarial transaction ordering.,402,266,73,27.44,Low,"mev, front-run, back-run, sandwich, ordering"
Protocol Bugs,Flash-Loan Amplification,Model one-block adversarial capital scenarios in core flows.,402,108,19,17.59,Low,"flash loan, one block, amplified"
Rust-Based Programs,PDA/Seed Validation,"Validate PDA seeds, bump values, and deterministic address assumptions.",402,402,144,35.82,Medium,"pda, seed, bump, derived address"
Rust-Based Programs,Account Lifecycle,Test init/reinit/close flows for unauthorized state reset paths.,402,273,32,11.72,Low,"reinit, close account, initialize, rent exempt"
Rust-Based Programs,Serialization/Type Safety,Protect against deserialization confusion and account type mismatch.,402,9,1,11.11,Low,"deserialize, serialization, type confusion, borsh"
Rust-Based Programs,Signer/Authority Validation,Enforce signer and authority constraints on every state transition.,402,176,14,7.95,Low,"signer, authority, constraint, owner check"
Rust-Based Programs,CPI Trust Boundaries,Assume CPI targets may be adversarial unless explicitly verified.,402,153,6,3.92,Low,"cpi, cross-program, invoke"
Solidity Problems,Permit/Approval Abuse,Constrain approvals and verify permit signing context.,402,324,88,27.16,Low,"permit, approval, allowance, signature"
Solidity Problems,Unsafe Delegatecall,Restrict delegatecall targets and sanitize calldata context.,402,365,91,24.93,Low,"delegatecall, implementation, proxy"
Solidity Problems,Access Control Gaps,Check role boundaries and internal function reachability.,402,350,77,22.0,Low,"access control, onlyowner, role, auth"
Solidity Problems,Invariant Drift via Rounding,Test long-run precision behavior with adversarial pathing.,402,283,62,21.91,Low,"rounding, precision, invariant"
Solidity Problems,State-Update Order,Update state before external interaction in value-sensitive flows.,402,265,56,21.13,Low,"checks-effects-interactions, state update, external call, reentrancy"
